measurements,min_word_length,max_word_length,mean_time_ms,median_time_ms,pearson_r,slope_ms_per_token,intercept_ms,benchmark_set,grammar,solver
80,10,49,3359.3439874999995,2673.8365,0.9418720078509097,240.85361791720814,-3649.4962938907515,big_grammar,1,pysat:gc4
80,10,49,3337.9221000000007,2565.629,0.9426669964639335,240.01635756821142,-3646.5539052349473,big_grammar,1,pysat:gc3
80,10,49,3311.732175,2483.8765000000003,0.9388586975042458,237.00131961888272,-3585.006225909483,big_grammar,1,pysat:mc
80,10,49,2868.64225,2097.3695,0.933776933869288,205.63928170564463,-3115.460847634255,big_grammar,1,pysat:g4
80,10,49,2806.3645375,2033.2435,0.9304947331813868,203.38182724303456,-3112.0466352723024,big_grammar,1,pysat:g3
80,10,49,2772.444125,2022.6625,0.9378975933316047,196.88377138371598,-2956.8736222661323,big_grammar,1,pysat:mgh
80,10,49,2691.7877,2189.6615,0.9401479425928471,192.825847535008,-2919.4444632687296,big_grammar,1,pysat:m22
100,1,50,317.0472199999999,155.838,0.7899106605174432,22.684446367757143,-264.5819848692932,grammars,16,pysat:gc4
100,1,50,303.86262999999997,160.92950000000002,0.8288638497393994,20.95807240670323,-233.50234650787084,grammars,16,pysat:gc3
100,1,50,290.57471000000004,143.02249999999998,0.7633669938866761,20.586104595178167,-237.25301182036824,grammars,16,pysat:mc
100,1,50,247.63232,127.9525,0.843160489204633,17.196595716009487,-193.28839415848333,grammars,16,pysat:mgh
100,1,50,243.80721000000003,137.1005,0.8805281736605898,16.8480039017536,-188.17561004096234,grammars,16,pysat:g3
100,1,50,242.40680999999998,129.3475,0.8633377210329796,16.817978836062835,-188.8061673566511,grammars,16,pysat:g4
100,1,50,237.51668,129.11599999999999,0.8595945795952519,16.25301738324508,-179.2106857064039,grammars,16,pysat:m22
100,2,50,148.75065,62.223,0.9206409599653533,11.26865964780056,-133.41658758092586,grammars,17,pysat:gc3
100,2,50,144.77227,63.605,0.8949161896873851,11.190976155191327,-135.44977292599071,grammars,17,pysat:mc
100,2,50,147.19643,68.388,0.9185989174285817,11.013833994571781,-128.58997322407728,grammars,17,pysat:gc4
100,2,50,128.64750999999998,55.819500000000005,0.9053606069563168,9.863434323567898,-118.33288546214007,grammars,17,pysat:g4
100,2,50,134.36478,64.7475,0.9034118013885927,9.683285398025653,-108.87934919840447,grammars,8,pysat:gc4
100,2,50,121.37740000000002,50.411,0.9042886026275566,9.56087769347047,-118.02697744450045,grammars,17,pysat:g3
100,2,50,120.30688000000002,51.804,0.923395687347007,9.182139336418645,-109.61388898392279,grammars,17,pysat:mgh
100,2,50,126.61484,61.3515,0.9257523657241471,8.979860390710423,-98.95925301464584,grammars,8,pysat:gc3
100,2,50,127.14584000000002,64.1725,0.9228474887596584,8.933547460459241,-97.26487220673616,grammars,8,pysat:mc
100,2,50,118.10631,52.391,0.9167914724851058,8.84776364995152,-103.44169179478601,grammars,17,pysat:m22
100,3,48,118.72758,55.348,0.9134114779367011,8.761816310223566,-98.65308265664657,grammars,6,pysat:gc4
100,3,48,119.43692000000001,64.2235,0.9183349329531838,8.504882021162985,-91.56920294505353,grammars,6,pysat:mc
100,3,48,116.45015,58.1935,0.9033694045526696,8.493338204227285,-94.26957084687879,grammars,6,pysat:gc3
100,1,50,113.42277,48.6455,0.6072702965275123,8.229048764962464,-93.78467790175476,grammars,15,pysat:mc
100,2,50,113.74231999999998,52.204,0.9114013089072789,8.080925731138247,-89.25053436619285,grammars,8,pysat:mgh
100,2,50,111.17221999999998,47.49,0.9023444822911082,7.898847050036189,-87.2468178969091,grammars,8,pysat:m22
100,2,50,108.43189000000001,51.230000000000004,0.9149971825514863,7.827287373138463,-88.18956881323821,grammars,8,pysat:g3
100,2,50,110.15335999999999,56.226,0.9261372005252921,7.819039321300415,-86.26090775106645,grammars,8,pysat:g4
100,1,49,103.40076000000003,51.7855,0.9000875626790964,7.655476993476376,-85.00052880945364,grammars,10,pysat:gc4
100,3,48,102.62961,45.0,0.8962402746081403,7.6294592181863425,-86.65727320320306,grammars,6,pysat:g4
100,4,50,105.5262,52.3645,0.9292883873378341,7.618306766745748,-93.00687434139415,grammars,2,pysat:gc4
100,4,50,105.95667999999998,51.0865,0.9125358641445545,7.581829532996514,-91.6257976298891,grammars,2,pysat:gc3
100,1,50,104.89450000000001,38.988,0.7642678639513576,7.501515693391189,-83.99366515959011,grammars,15,pysat:gc4
100,1,49,102.34177000000001,53.027,0.9129116444839562,7.425777127973703,-80.40660511943284,grammars,10,pysat:gc3
100,4,50,102.15566000000001,47.932,0.9075306596141539,7.30445701104621,-88.19848970786421,grammars,2,pysat:mc
100,3,48,97.08293999999998,45.0045,0.9077050035246457,7.224200074118903,-82.1494638388899,grammars,6,pysat:g3
100,1,50,98.40832999999999,59.298500000000004,0.8906668560809206,7.188617470683449,-81.88219616474092,grammars,14,pysat:gc4
100,3,48,96.57334999999999,44.189499999999995,0.8897633789221175,7.14824617325997,-80.77463755857977,grammars,6,pysat:m22
100,2,50,101.46238000000001,50.8545,0.9022633225488487,7.116590590897172,-80.58000731514959,grammars,13,pysat:gc4
100,1,50,100.88161999999998,43.182500000000005,0.7909289100471603,7.064341141292699,-76.99848993775011,grammars,15,pysat:gc3
100,3,48,96.73567000000001,48.6635,0.9302801597240316,7.0333039218905675,-77.7606003021049,grammars,6,pysat:mgh
100,1,50,95.95890000000001,52.0955,0.8777115199929878,7.0183683036867395,-80.0617770564634,grammars,14,pysat:mc
100,1,50,94.60117000000002,58.2805,0.8953589875740383,6.887057757047165,-78.12623854674287,grammars,14,pysat:gc3
100,1,49,94.42396000000001,50.8245,0.9264885356502733,6.787910910404127,-72.62652750504559,grammars,10,pysat:mc
100,1,50,92.65178000000002,34.1005,0.762907647598679,6.5127829544139395,-71.34009479214296,grammars,15,pysat:mgh
100,1,49,89.04661999999999,43.6275,0.8925500707296404,6.511738523079222,-71.2072650529797,grammars,10,pysat:g4
100,2,50,95.02332000000003,60.891000000000005,0.9118055412313246,6.510423367514725,-71.51330974102665,grammars,13,pysat:gc3
100,1,49,86.28963,41.2605,0.8856381702691959,6.439815611172601,-72.19423219095773,grammars,10,pysat:mgh
100,4,50,90.51557999999999,40.9805,0.9214893704511252,6.437414732661629,-77.243447933162,grammars,2,pysat:g4
100,4,50,88.66616,42.2365,0.9052951913873011,6.370639572227669,-77.35270725225303,grammars,2,pysat:g3
100,1,50,87.74188999999998,35.406,0.8182697592878845,6.266727647613503,-70.05431216690792,grammars,15,pysat:g4
100,4,50,86.43216000000001,37.572,0.9154748608825065,6.233540753802755,-76.01391204409974,grammars,2,pysat:m22
100,3,50,85.51885,46.8725,0.9241569313155362,6.206625287995549,-71.1363722690077,grammars,1,pysat:gc4
100,1,49,83.50950999999999,39.2095,0.9079056375413583,6.10615557805665,-66.76297877597422,grammars,10,pysat:g3
100,3,50,84.18597000000001,47.0275,0.9083886623310062,6.074910293828636,-69.14476581623481,grammars,1,pysat:gc3
